Order,Family,Genus,Species,Name,C-value,Mbp,Method,Metamorphosis
Diptera,Drosophilidae,Drosophila,neohydei,Drosophila neohydei,0.2,195.6,FD,Complete
Diptera,Drosophilidae,Drosophila,pallidosa,Drosophila pallidosa,0.2,195.6,FCM,Complete
Diptera,Drosophilidae,Drosophila,phaeopleura,Drosophila phaeopleura,0.2,195.6,FCM,Complete
Diptera,Drosophilidae,Drosophila,takahashii,Drosophila takahashii,0.2,195.6,FCM,Complete
Diptera,Drosophilidae,Drosophila,tani,Drosophila tani,0.2,195.6,FCM,Complete
Diptera,Drosophilidae,Scaptomyza,sp.,Scaptomyza sp.,0.2,195.6,FCM,Complete
Diptera,Drosophilidae,Zaprionus,camarounensis,Zaprionus camarounensis,0.2,195.6,FCM,Complete
Diptera,Drosophilidae,Zaprionus,tuberculatis,Zaprionus tuberculatis,0.2,195.6,FCM,Complete
Diptera,Sepsidae,Nemopoda,nitidula,Nemopoda nitidula,0.2,195.6,FCM,Complete
Diptera,Sepsidae,Themira,biloba,Themira biloba,0.2,195.6,FCM,Complete
Diptera,Drosophilidae,Drosophila,lacicola,Drosophila lacicola,0.2,196,,Complete
Thysanoptera,Thripidae,Frankliniella,fusca,Frankliniella fusca,0.2,196,,Incomplete
Diptera,Drosophilidae,Drosophila,ezoana,Drosophila ezoana,0.2,197.9,,Complete
Diptera,Drosophilidae,Zaprionus,tuberculatus,Zaprionus tuberculatus,0.2,198.1,,Complete
Diptera,Drosophilidae,Drosophila,ananassae,Drosophila ananassae,0.2,198.6,,Complete
Diptera,Drosophilidae,Zaprionus,tuberculatus,Zaprionus tuberculatus,0.2,199.2,,Complete
Diptera,Drosophilidae,Zaprionus,kolodkinae,Zaprionus kolodkinae,0.2,199.3,,Complete
Diptera,Drosophilidae,Drosophila,miranda,Drosophila miranda,0.2,199.6,,Complete
Diptera,Drosophilidae,Zaprionus,taronus,Zaprionus taronus,0.2,199.9,,Complete
Diptera,Drosophilidae,Scaptomyza,anomala,Scaptomyza anomala,0.2,200.2,,Complete
Diptera,Drosophilidae,Scaptodrosophila,latifasciaeformis,Scaptodrosophila latifasciaeformis,0.21,201.7,,Complete
Diptera,Drosophilidae,Drosophila,ficusphila,Drosophila ficusphila,0.21,201.8,,Complete
Diptera,Drosophilidae,Drosophila,anceps,Drosophila anceps,0.21,201.8,,Complete
Diptera,Drosophilidae,Scaptodrosophila,latifasciaeformis,Scaptodrosophila latifasciaeformis,0.21,201.8,,Complete
Coleoptera,Anobiidae,Lasioderma,serricorne,Lasioderma serricorne,0.21,201.96,,Complete
Diptera,Drosophilidae,Zaprionus,inermis,Zaprionus inermis,0.21,202,,Complete
Diptera,Drosophilidae,Drosophila,polychaeta,Drosophila polychaeta,0.21,202.5,,Complete
Diptera,Drosophilidae,Drosophila,limensis,Drosophila limensis,0.21,203.1,,Complete
Diptera,Drosophilidae,Zaprionus,inermis,Zaprionus inermis,0.21,203.1,,Complete
Diptera,Drosophilidae,Zaprionus,taronus,Zaprionus taronus,0.21,203.2,,Complete
Diptera,Drosophilidae,Drosophila,takahashii,Drosophila takahashii,0.21,204,,Complete
Diptera,Drosophilidae,Drosophila,ananassae,Drosophila ananassae,0.21,205.1,,Complete
Coleoptera,Curculionidae,Dendroctonus,ponderosa,Dendroctonus ponderosa,0.21,205.38,FCM,Complete
Coleoptera,Tenebrionidae,Hegeter,fernandezi,Hegeter fernandezi,0.21,205.38,FD,Complete
Coleoptera,Tenebrionidae,Tribolium,castaneum,Tribolium castaneum,0.21,205.38,FD,Complete
Coleoptera,Tenebrionidae,Tribolium,castaneum,Tribolium castaneum,0.21,205.38,BCA,Complete
Coleoptera,Tenebrionidae,Tribolium,castaneum,Tribolium castaneum,0.21,205.38,FCM,Complete
Diptera,Chironomidae,Chironomus,tentans,Chironomus tentans,0.21,205.38,NS,Complete
